"","E0","sim_start","int_start1","int_length2","sd_m1","sd_m2","int_start2","int_length1","beta0est","paramset","iso_start","log_lik","R0_base","R0_int"
"422",10,2020-02-17,2020-03-02,113,0.68232421875,0.268017578125,2020-03-17,15,1.27169479880199,422,2020-07-08,-24.7047816736157,3.97404624625622,1.06511425027834
"423",8,2020-02-10,2020-03-05,68,0.60732421875,0.080517578125,2020-03-17,12,1.12737929192362,423,2020-05-24,-27.4303369184532,3.5230602872613,0.283668281918647
"424",4,2020-02-23,2020-03-09,98,0.75732421875,0.205517578125,2020-03-17,8,1.72662241276036,424,2020-06-23,-24.424821992371,5.39569503987612,1.10891017689641
"425",5,2020-01-29,2020-03-04,117,0.81357421875,0.189892578125,2020-03-17,13,0.869048442718809,425,2020-07-12,-27.2176727573553,2.71577638349628,0.515705779073097
"426",8,2020-02-12,2020-03-09,87,0.66357421875,0.064892578125,2020-03-17,8,1.07849995721541,426,2020-06-12,-27.0924123287927,3.37031236629815,0.218708258535656
"427",10,2020-02-05,2020-03-06,102,0.73857421875,0.252392578125,2020-03-17,11,0.887813755658108,427,2020-06-27,-26.4994197717746,2.77441798643159,0.70024250839184
"428",6,2020-02-18,2020-03-02,72,0.88857421875,0.127392578125,2020-03-17,15,1.38938365201136,428,2020-05-28,-25.42104965553,4.34182391253549,0.553116141982671
"429",6,2020-02-08,2020-03-10,110,0.70107421875,0.158642578125,2020-03-17,7,1.03731593286345,429,2020-07-05,-26.4293754894377,3.24161229019829,0.514257730998743
"430",9,2020-02-22,2020-03-05,80,0.85107421875,0.283642578125,2020-03-17,12,1.22334615535601,430,2020-06-05,-25.2213154636652,3.82295673548752,1.08435330451401
"431",7,2020-02-02,2020-03-03,95,0.77607421875,0.096142578125,2020-03-17,14,0.897225342956345,431,2020-06-20,-28.0626904657764,2.80382919673858,0.269567367596595
"432",4,2020-02-15,2020-03-08,65,0.62607421875,0.221142578125,2020-03-17,9,1.40918485345341,432,2020-05-21,-25.1797205929411,4.4037026670419,0.973846161085584
"433",4,2020-02-02,2020-03-08,70,0.72919921875,0.275830078125,2020-03-17,9,0.946728512496652,433,2020-05-26,-26.1620405361023,2.95852660155204,0.816050623640989
"434",7,2020-02-16,2020-03-04,100,0.87919921875,0.150830078125,2020-03-17,13,0.819558309717141,434,2020-06-25,-32.3559811319355,2.56111971786606,0.386293887133217
"435",9,2020-02-09,2020-03-02,85,0.80419921875,0.213330078125,2020-03-17,15,0.978252024867936,435,2020-06-10,-26.0771660946135,3.0570375777123,0.652158065284426
"436",5,2020-02-23,2020-03-06,115,0.65419921875,0.088330078125,2020-03-17,11,2.07270606965337,436,2020-07-10,-25.2337491619584,6.47720646766677,0.572132153320761
"437",6,2020-02-06,2020-03-05,63,0.76669921875,0.057080078125,2020-03-17,12,1.00097181081793,437,2020-05-19,-27.9012251682494,3.12803690880604,0.178548591132533
"438",10,2020-02-19,2020-03-09,93,0.61669921875,0.182080078125,2020-03-17,8,1.34144653979727,438,2020-06-18,-25.15562780024,4.19202043686646,0.763283408646241
"439",8,2020-01-30,2020-03-07,78,0.69169921875,0.119580078125,2020-03-17,10,0.819091584349202,439,2020-06-03,-28.1509452866728,2.55966120109126,0.306084486400024
"440",5,2020-02-12,2020-03-03,108,0.84169921875,0.244580078125,2020-03-17,14,1.13778830569644,440,2020-07-03,-25.3850429172385,3.55558845530139,0.869626102177962
"441",4,2020-02-11,2020-03-06,97,0.89794921875,0.260205078125,2020-03-17,11,1.09143242900596,441,2020-06-22,-25.2193751713223,3.41072634064362,0.887488313930169
"442",8,2020-02-24,2020-03-01,67,0.74794921875,0.135205078125,2020-03-17,16,1.90238697515345,442,2020-05-23,-24.6080373337687,5.94495929735453,0.803788686248765
"443",9,2020-02-04,2020-03-03,112,0.67294921875,0.197705078125,2020-03-17,14,0.944026816472944,443,2020-07-07,-26.8174464296743,2.95008380147795,0.583246548446495
"444",6,2020-02-18,2020-03-08,82,0.82294921875,0.072705078125,2020-03-17,9,1.40992341308244,444,2020-06-07,-26.1033855097271,4.40601066588263,0.32033934968258
"445",5,2020-02-01,2020-03-02,104,0.63544921875,0.103955078125,2020-03-17,15,1.03368302134411,445,2020-06-29,-27.9329591044216,3.23025944170035,0.335801872625978
"446",8,2020-02-14,2020-03-07,74,0.78544921875,0.228955078125,2020-03-17,10,1.11415533758556,446,2020-05-30,-25.2416046893151,3.48173542995487,0.797161007375898
"447",7,2020-02-07,2020-03-09,119,0.86044921875,0.166455078125,2020-03-17,8,0.919189820794951,447,2020-07-14,-26.4496647172426,2.87246818998422,0.478136916975401
"448",3,2020-02-21,2020-03-04,89,0.71044921875,0.291455078125,2020-03-17,13,1.7503408224895,448,2020-06-14,-24.4763358894624,5.46981507027968,1.59420537863767
"449",3,2020-02-10,2020-03-09,66,0.79248046875,0.242626953125,2020-03-17,8,1.19583139769143,449,2020-05-22,-25.4736411560652,3.73697311778573,0.906690401478383
